Station,Month,Normal_Precipitation_Inches
KAUS,JANUARY,2.82
KAUS,FEBRUARY,1.89
KAUS,MARCH,2.90
KAUS,APRIL,2.39
KAUS,MAY,5.00
KAUS,JUNE,3.37
KAUS,JULY,2.16
KAUS,AUGUST,2.47
KAUS,SEPTEMBER,3.03
KAUS,OCTOBER,4.25
KAUS,NOVEMBER,2.68
KAUS,DECEMBER,2.61
KDEN,JANUARY,0.38
KDEN,FEBRUARY,0.41
KDEN,MARCH,0.86
KDEN,APRIL,1.68
KDEN,MAY,2.16
KDEN,JUNE,1.94
KDEN,JULY,2.14
KDEN,AUGUST,1.58
KDEN,SEPTEMBER,1.35
KDEN,OCTOBER,0.99
KDEN,NOVEMBER,0.64
KDEN,DECEMBER,0.35
KDFW,JANUARY,2.53
KDFW,FEBRUARY,2.76
KDFW,MARCH,3.30
KDFW,APRIL,3.22
KDFW,MAY,4.78
KDFW,JUNE,3.70
KDFW,JULY,2.08
KDFW,AUGUST,2.18
KDFW,SEPTEMBER,2.72
KDFW,OCTOBER,4.37
KDFW,NOVEMBER,2.53
KDFW,DECEMBER,2.84
KIAH,JANUARY,4.09
KIAH,FEBRUARY,2.85
KIAH,MARCH,3.28
KIAH,APRIL,4.08
KIAH,MAY,5.42
KIAH,JUNE,6.09
KIAH,JULY,4.59
KIAH,AUGUST,5.44
KIAH,SEPTEMBER,5.76
KIAH,OCTOBER,5.78
KIAH,NOVEMBER,3.90
KIAH,DECEMBER,4.34
KLOX,JANUARY,2.86
KLOX,FEBRUARY,2.99
KLOX,MARCH,1.73
KLOX,APRIL,0.60
KLOX,MAY,0.28
KLOX,JUNE,0.08
KLOX,JULY,0.04
KLOX,AUGUST,0.00
KLOX,SEPTEMBER,0.11
KLOX,OCTOBER,0.49
KLOX,NOVEMBER,0.82
KLOX,DECEMBER,2.23
KMDW,JANUARY,1.48
KMDW,FEBRUARY,1.46
KMDW,MARCH,1.88
KMDW,APRIL,3.57
KMDW,MAY,4.09
KMDW,JUNE,4.01
KMDW,JULY,3.55
KMDW,AUGUST,3.99
KMDW,SEPTEMBER,2.77
KMDW,OCTOBER,3.48
KMDW,NOVEMBER,2.35
KMDW,DECEMBER,1.79
KMIA,JANUARY,1.83
KMIA,FEBRUARY,2.15
KMIA,MARCH,2.46
KMIA,APRIL,3.36
KMIA,MAY,6.32
KMIA,JUNE,10.51
KMIA,JULY,7.36
KMIA,AUGUST,9.58
KMIA,SEPTEMBER,10.22
KMIA,OCTOBER,7.65
KMIA,NOVEMBER,3.53
KMIA,DECEMBER,2.44
KNYC,JANUARY,3.64
KNYC,FEBRUARY,3.19
KNYC,MARCH,4.29
KNYC,APRIL,4.09
KNYC,MAY,3.96
KNYC,JUNE,4.54
KNYC,JULY,4.60
KNYC,AUGUST,4.56
KNYC,SEPTEMBER,4.31
KNYC,OCTOBER,4.38
KNYC,NOVEMBER,3.58
KNYC,DECEMBER,4.38
KSEA,JANUARY,5.14
KSEA,FEBRUARY,3.54
KSEA,MARCH,3.86
KSEA,APRIL,2.98
KSEA,MAY,2.16
KSEA,JUNE,1.57
KSEA,JULY,0.78
KSEA,AUGUST,1.00
KSEA,SEPTEMBER,1.74
KSEA,OCTOBER,3.65
KSEA,NOVEMBER,5.85
KSEA,DECEMBER,5.55
KSFO,JANUARY,3.89
KSFO,FEBRUARY,3.96
KSFO,MARCH,2.73
KSFO,APRIL,1.36
KSFO,MAY,0.48
KSFO,JUNE,0.14
KSFO,JULY,0.00
KSFO,AUGUST,0.04
KSFO,SEPTEMBER,0.07
KSFO,OCTOBER,0.79
KSFO,NOVEMBER,2.04
KSFO,DECEMBER,4.14
